,mean_exp,exp_both,exp_U
0,0.0915226239404249,339,551
1,0.1027183667412224,352,553
2,0.1023159280188053,364,556
3,0.0812993928861321,318,550
4,0.0956058286546893,315,556
5,0.1021799575630005,366,560
6,0.1087344727920342,353,551
7,0.09177601198537,325,559
8,0.093600332519992,348,554
9,0.1095096947150291,355,553
10,0.092970424616479,332,555
11,0.0910485312829022,337,555
12,0.0979746731901966,339,554
13,0.098150380556067,319,550
14,0.0896359754773631,326,552
15,0.1044118217822636,360,552
16,0.0918768517688585,330,551
17,0.0982133761528221,324,550
18,0.1012218431751329,330,553
19,0.0892902058146426,345,558
20,0.092471409112246,337,553
21,0.0944729850612961,338,556
22,0.0929240565636702,326,552
23,0.1006019688116038,359,551
24,0.0931095273387525,345,556
25,0.0970915522131313,336,555
26,0.093357626533291,343,550
27,0.0818513481572523,324,557
28,0.0842260433009091,345,554
29,0.0923755200362218,345,553
30,0.090448329531133,335,553
31,0.0925813292677677,345,558
32,0.0934744967134819,339,559
33,0.097705541830502,322,556
34,0.0856913648964083,312,546
35,0.0908972095039463,342,546
36,0.0842224585756201,336,559
37,0.0859464373498717,344,555
38,0.0893846264580021,350,550
39,0.0984169737007794,338,561
40,0.1013257692983371,341,556
41,0.0959859079343047,350,550
42,0.0849858731776971,306,550
43,0.0899141293235084,344,553
44,0.1001123574833788,323,558
45,0.0980339225504262,329,553
46,0.0821504477328464,317,559
47,0.0950527988468791,349,558
48,0.0855958864300581,337,554
49,0.0868125645661137,346,552
50,0.1113976222898628,347,552
51,0.0853173162153858,329,558
52,0.1008088668124705,355,558
53,0.093918743267483,341,555
54,0.0903182336082612,326,553
55,0.0951395298478886,338,554
56,0.0814241078095357,345,552
57,0.1022148221422875,345,551
58,0.1000966633623471,345,550
59,0.1032466077637162,330,558
60,0.10890548808914,351,556
61,0.0844375877652829,345,550
62,0.0950066581450602,339,552
63,0.09796111727309,339,559
64,0.0845084753845233,331,554
65,0.0861595623208676,318,556
66,0.1060611805160603,374,558
67,0.0845991058244075,327,546
68,0.0933621537060257,332,551
69,0.0968963665201047,331,552
70,0.0941335130752272,319,557
71,0.0936073068911247,316,556
72,0.0863868889642466,315,556
73,0.0929246710106104,354,555
74,0.1050194557433166,355,545
75,0.0920470239029018,335,556
76,0.1010657037386306,338,555
77,0.0910629081211625,321,555
78,0.0789840432312657,336,553
79,0.0976135081124755,341,554
80,0.0967233252017782,352,553
81,0.0987107495295365,355,554
82,0.0906549413993176,344,553
83,0.1007580418689435,347,553
84,0.093854088177915,350,550
85,0.1009016189559717,340,551
86,0.1085818208229729,334,554
87,0.1006818017741018,330,553
88,0.1034124087428479,328,546
89,0.0920392444374012,350,556
90,0.0967471131627398,343,557
91,0.0853936513664498,336,558
92,0.0990620224917334,323,554
93,0.0919703934538046,319,554
94,0.0959213400862393,355,553
95,0.1009508235918633,327,558
96,0.0971457848604791,334,555
97,0.0878816838952121,333,556
98,0.0996707114406604,332,560
99,0.1063451217064453,353,560
100,0.0957651595714695,350,555
101,0.0949814587296937,353,555
102,0.0868279623289958,343,552
103,0.0848728375840587,340,559
104,0.0953686568398372,344,560
105,0.0977516224251491,340,554
106,0.085373069454766,314,547
107,0.1046331527132501,352,556
108,0.0942120230334174,332,551
109,0.0859191331758224,330,544
110,0.0804902490289412,321,560
111,0.0818168599744493,338,556
112,0.0854795176070968,322,556
113,0.0947216893057618,352,556
