,Host,Nested
274,zmp-1,EGAP1.5
275,pfas-1,lron-5
276,pfas-1,clec-151
277,pfas-1,clec-153
278,evl-18,F34D10.3
279,evl-18,F34D10.8
280,F55H2.7,F55H2.8
281,pitp-1,rpl-37
282,gcc-2,rmd-1
283,hip-1,T12D8.9
284,abcf-2,tag-164
285,T28D6.6,T28D6.5
286,Y37D8A.6,Y37D8A.8
287,rbm-7,Y37D8A.19
288,Y39A1A.9,Y39A1A.10
289,set-25,F56A8.8
290,faah-4,sdz-33
291,nars-2,Y66D12A.24
292,Y79H2A.3,Y79H2A.4
293,ZK512.2,ZK512.11
294,B0303.11,B0303.16
295,tag-250,C29E4.14
296,tag-250,C29E4.17
297,F26A1.7,F26A1.4
298,F26A1.9,F26A1.3
299,F26F4.9,F26F4.2
300,R01H2.4,R01H2.1
301,R05D3.9,R05D3.3
302,polq-1,ceh-10
303,wht-7,Y42G9A.2
304,wht-7,Y42G9A.3
305,ztf-8,ZC395.4
306,cal-4,C02F4.5
307,ccr-4,ZC518.8
308,dhs-12,msp-38
309,alp-1,T11B7.5
310,gex-2,F56A11.6
311,pqn-75,W03D2.9
312,spp-10,hlh-12
313,dgk-4,F42A9.9
314,tpa-1,B0545.4
315,svh-1,C07G1.6
316,svh-1,C07G1.7
317,unc-82,B0496.11
318,B0564.2,best-1
319,pdzd-8,col-119
320,F07C6.4,M02B1.4
321,ugt-65,col-130
322,gba-3,grl-24
323,gba-3,F11E6.9
324,nish-1,F13E9.11
325,F56D5.6,F56D5.5
326,rga-5,H08M01.1
327,K01A6.6,K01A6.4
328,K01A6.6,K01A6.7
329,K01A6.6,K01A6.8
330,R10H10.3,spe-26
331,R102.3,R102.8
332,T25B9.9,inpp-1
333,T28C6.7,T28C6.8
334,T28C6.7,T28C6.11
335,atln-2,dpy-4
336,fcd-2,Y41E3.8
337,Y43C5B.3,Y43C5B.2
338,afmd-2,puf-3
339,Y51H4A.25,Y51H4A.24
340,Y105C5A.13,Y105C5A.12
341,C52D10.3,col-138
342,test-1,C54E4.12
343,atic-1,ilys-4
344,aagr-1,D2096.6
345,drl-1,col-101
346,F28F9.3,cal-3
347,irld-7,nspb-1
348,clec-78,F47C12.6
349,clec-78,F47C12.7
350,clec-78,F47C12.8
351,clec-78,W02C12.2
352,clec-78,F47C12.13
353,lgc-30,F58H7.1
354,R08C7.12,R08C7.11
355,ell-1,Y24D9A.6
356,ell-1,Y24D9A.7
357,frm-5.2,Y38C1AB.5
358,clec-85,Y54G2A.49
359,clec-84,Y54G2A.15
360,Y69A2AR.16,Y69A2AR.22
361,exos-2,Y73B6BL.22
362,bcc-1,M7.7
363,cyn-13,Y116A8C.33
364,daf-10,flp-1
365,frm-5.1,Y38C1AB.1
366,gtl-1,C05C12.1
367,xpo-3,C49H3.16
368,klp-12,T01G1.2
369,lad-2,Y54G2A.57
370,npp-8,Y41D4B.14
371,skn-1,clec-178
372,F56B3.4,F56B3.6
373,smg-3,Y73B6BL.270
374,soc-2,C24D10.5
375,tag-30,F38H4.5
376,qns-1,col-124
377,mogs-1,F13H10.8
378,F21D5.5,F21D5.4
379,cutl-17,cpin-1
380,lron-14,col-122
381,catp-6,col-123
382,tbc-9,Y38H8A.1
383,tbc-9,Y45F10A.7
384,lact-9,iscu-1
385,Y116A8C.27,Y116A8C.29
386,ufl-1,C06G3.3
387,C34H4.5,col-107
388,C46A5.4,col-14
389,C46A5.6,del-7
390,C49C8.5,C49C8.2
391,C49C8.5,C49C8.8
392,F15E6.9,F15E6.3
393,F19C7.8,R105.1
394,F19C7.8,R105.5
395,F32E10.5,cec-4
396,F36H12.17,slfl-4
397,F36H12.17,F36H12.3
398,F36H12.17,F36H12.4
399,hda-6,F41H10.5
400,R05G6.10,R05G6.1
401,T22D1.8,T22D1.5
402,Y4C6A.3,Y4C6A.4
403,Y41D4A.7,Y41D4A.3
404,Y54G2A.12,Y54G2A.72
405,nprt-1,dml-1
406,gbb-2,ZK180.7
407,F58D2.5,F58D2.2
408,Y67D8C.22,Y67D8C.2
409,cpi-2,R01B10.3
410,egl-47,fipr-11
411,xpo-1,ZK742.3
412,xpo-1,ZK742.4
413,lin-25,W05B10.6
414,mig-6,txt-5
415,mig-6,C37C3.12
416,mig-6,ttr-33
417,phy-3,tni-3
418,plc-2,Y75B12B.13
419,sec-23,nlp-69
420,srd-27,T26E4.18
421,twk-10,spp-20
422,twk-10,spp-26
423,twk-10,K04A8.19
424,twk-10,spp-27
425,kcnl-4,tag-191
426,clec-55,R02D5.7
427,prde-1,glb-14
428,F23H12.5,fipr-1
429,mpst-3,H12D21.6
430,H12D21.10,H12D21.9
431,T01D3.3,hlh-34
432,W06A7.4,nspa-8
433,mltn-11,srw-76
434,set-22,snf-10
435,Y42A5A.1,lact-8
436,Y42A5A.1,Y42A5A.3
437,Y43F8B.3,phy-4
438,Y43F8B.3,Y43F8B.19
439,cubn-1,cyc-2.2
440,cubn-1,F56H9.9
441,ogdh-2,lon-3
442,ogdh-2,ZK836.3
443,C37H5.5,C37H5.14
444,C50E3.5,C50E3.6
445,cwf-19L1,F17A9.4
446,cwf-19L1,F17A9.5
447,ints-9,ets-6
448,F20A1.2,F20A1.8
449,F40A3.1,F40A3.6
450,smk-1,fip-4
451,rnst-2,str-67
452,rnst-2,K10C9.7
453,R13D11.4,R13D11.10
454,cest-24,T28C12.15
455,W08A12.3,W08A12.2
456,Y32G9A.2,Y32G9A.12
457,Y47D7A.3,Y47D7A.17
458,Y61A9LA.3,hpo-39
459,algn-12,ZC513.14
460,T13F3.8,T13F3.6
461,avr-15,R11G10.4
462,cng-1,F14H8.8
463,csn-1,Y59A8A.8
464,dnj-25,srxa-1
465,dnj-25,srxa-6
466,emb-4,ceh-51
467,gcy-13,fipr-2
468,gcy-33,C52E4.12
469,gly-4,Y116F11B.13
470,max-1,acly-2
471,mec-9,fipr-10
472,pkc-1,F10C2.3
473,ketn-1,F54E2.2
474,str-81,fbxb-1
475,str-81,fbxb-116
476,str-81,sqst-3
477,ttn-1,exp-2
478,mrck-1,K08B12.1
479,vps-54,del-6
480,lgc-31,F21A3.3
481,F21H7.3,clec-233
482,uig-1,F32F2.4
483,F53E4.1,F53E4.2
484,F53F4.2,F53F4.17
485,yif-1,str-118
486,ric-7,droe-4
487,aman-2,F58H1.2
488,nphp-4,pho-8
489,nphp-4,idpb-5
490,nphp-4,R13H4.2
491,nspg-1,T07F10.5
492,T16G1.9,T16G1.13
493,ipla-3,Y44A6C.2
494,fbxa-209,Y36E3A.2
495,fars-2,Y116F11B.14
496,Y116F11B.9,Y116F11B.8
497,cest-2.3,ceh-74
498,cest-2.3,ZC376.8
499,B0554.7,B0554.1
500,mct-2,C01B4.8
501,C03A7.13,C03A7.2
502,C18C4.7,glb-5
503,H10D18.5,H10D18.1
504,acl-14,K07B1.4
505,Y45G5AM.9,nhr-114
506,Y73C8B.2,Y73C8B.9
507,Y75B7AL.2,glb-33
508,F43D2.6,F43D2.3
509,W03F9.11,W03F9.9
510,folt-3,clec-213
511,him-4,F15G9.5
512,jkk-1,F35C8.8
513,prx-1,C11H1.9
514,tmbi-4,B0563.7
515,F11C1.4,F11C1.9
516,psa-3,pqn-36
517,lge-1,K09C8.9
518,ucr-2.2,col-41
519,T14G8.3,T14G8.4
520,T14G8.3,T14G8.6
521,sulp-7,W04G3.7
522,W07E11.1,flp-2
523,W07E11.1,flp-3
524,W07E11.1,flp-28
525,C15H9.4,C15H9.11
526,pcyt-1,F08C6.18
527,endu-2,kqt-2
528,T01B6.1,nlp-2
529,T01B6.1,nlp-22
530,T01B6.1,nlp-23
531,T01B6.1,nlp-45
532,svh-2,aaim-1
533,ZK470.2,ZK470.4
534,F11C1.10,F11C1.9
535,dhs-30,T25G12.3
536,irk-2,M02A10.1
537,plc-1,F31B12.4
538,sel-7,K04G11.1
539,C44H4.4,let-4
540,C44H4.4,sym-1
541,C44H4.4,lron-1
542,F13D2.1,gnrr-6
543,F13D2.1,gnrr-7
544,F15G9.2,F15G9.6
545,nhr-27,abf-5
546,nhr-27,abf-6
547,nhr-27,pgp-12
548,nhr-27,pgp-13
549,nhr-27,rgs-2
550,nhr-27,str-123
551,nhr-27,str-124
552,nhr-27,cept-1
553,nhr-27,alh-13
554,myrf-2,arrd-28
555,F53H4.6,F53H4.2
556,glo-1,R07B1.9
557,cut-5,idpa-3
558,T10B10.8,T10B10.9
559,C36B7.4,Y1B5A.1
560,igcm-2,igdb-3
561,T24C12.3,T24C12.1
562,rga-8,hst-6
563,ZC8.6,lfi-1
564,ZK154.4,ZK154.1
565,ZK1193.2,col-19
566,F52B10.3,B0410.1
