,mean_exp,exp_both,exp_U
0,0.2078435315849999,336,499
1,0.2415927996033912,352,513
2,0.2212436029381239,326,508
3,0.1855382920983421,318,499
4,0.2229325807862515,340,500
5,0.2260776668760055,356,513
6,0.1998119487549006,342,506
7,0.2286469327225028,353,503
8,0.1923152390359903,332,508
9,0.2204881589048551,327,506
10,0.2072225233979181,330,506
11,0.206174086266893,322,513
12,0.209122857909633,342,514
13,0.2243164501060981,336,515
14,0.2175888120529998,323,514
15,0.2179817138397621,339,516
16,0.2086720906722045,312,494
17,0.1894760736463889,316,509
18,0.2203551701890921,366,510
19,0.215304003213692,364,520
20,0.2205074627245135,352,513
21,0.2359660930671889,345,511
22,0.2101923876641106,333,490
23,0.2192972425060582,342,497
24,0.2167892188649919,338,515
25,0.1915372934474945,325,501
26,0.225357724531753,329,517
27,0.2161716080487476,335,512
28,0.2214689406062493,344,517
29,0.2005354460709346,326,510
30,0.2204611603272172,356,514
31,0.2098711422213112,332,505
32,0.1953578473590621,330,504
33,0.2052848757402978,332,504
34,0.2258300755847959,342,499
35,0.2150347592526693,343,505
36,0.1949732401995362,331,506
37,0.2099784162702586,342,513
38,0.2189757140590929,345,505
39,0.1998149016633938,341,507
40,0.2086241085724285,347,512
41,0.1918871086665931,332,502
42,0.2010440428359044,322,513
43,0.2230237266660392,331,502
44,0.2055294848735973,311,504
45,0.2158238614359806,341,514
46,0.215328208965437,342,495
47,0.2112563239564911,341,508
48,0.2056963467190466,348,494
49,0.2033902064193495,328,500
50,0.1957336727905718,352,497
51,0.2225162102105636,347,515
52,0.2295732759789758,342,508
53,0.2161434463909761,355,507
54,0.2152077234082097,344,516
55,0.217126291874777,341,503
56,0.2106759190399679,339,513
57,0.2325651067733566,350,514
58,0.2235176049759906,349,515
59,0.216719016489347,347,511
60,0.1917946560024576,316,508
61,0.2200343482866707,333,506
62,0.2134590389212035,305,504
63,0.2198908331514075,328,496
64,0.2283377373205528,355,515
65,0.2009310083299281,320,501
66,0.2172601728296584,332,514
67,0.1995711198109951,325,512
68,0.2007088294313742,339,506
69,0.1937105765630901,311,508
70,0.1957676070312343,319,498
71,0.2220196058581683,330,516
72,0.2162175519245899,348,494
73,0.2136270956306941,323,508
74,0.190856010371423,329,501
75,0.2118365646540151,329,507
76,0.2249227343077872,342,511
77,0.2329671065804822,337,507
78,0.2163561828766295,334,511
79,0.2259872346837605,333,514
80,0.2283070290694737,337,498
81,0.2073652421522859,344,495
82,0.2141274624832781,343,511
83,0.2072574333313364,329,490
84,0.2082278928979846,341,510
85,0.2279733067286982,342,498
86,0.2007709460080571,346,511
87,0.2218182750844964,344,510
88,0.222513781734375,352,504
89,0.2193541463770581,333,504
90,0.2218074387366989,342,506
91,0.2126921918019645,342,511
92,0.2090009786573826,333,514
93,0.2191052916757428,331,509
94,0.2289208167827495,344,494
95,0.2216260577048071,342,507
96,0.1901107530848503,313,503
97,0.2191019923244083,337,504
98,0.2318423020338738,351,514
99,0.2340526757084455,344,509
100,0.2112740610522774,349,514
101,0.2112207862053571,335,498
102,0.2275651168607526,330,502
103,0.201286358482471,349,512
104,0.2104974452181894,348,520
105,0.2065608031408731,341,503
106,0.2055622266972465,329,504
107,0.2007150210300001,353,501
108,0.2241447465911071,355,510
109,0.2339963812257703,354,513
110,0.2122259942385773,320,499
111,0.2132029714433687,352,515
112,0.2088434896542683,338,505
113,0.2283558578102459,341,506
114,0.2116332652174479,336,508
115,0.2036572563248591,356,519
116,0.2194933308264889,354,512
117,0.1901409058006636,330,504
118,0.2210422689233268,329,506
119,0.2270527006881585,350,512
120,0.2170202149914288,337,510
121,0.2098785356452572,320,504
